============================================================
ALNS+PSO 求解结果
============================================================

总费用: 99737.249530 元
求解用时: 50.02 秒
初始解费用: 107349.890903 元
改进率: 7.09%

================================================================================
算子统计报告（按进程/线程区分）
================================================================================

── 进程 1 ──
  模块耗时汇总:
    破坏+修复 (DR) : 10.449 s
    局部搜索 (LS)  : 23.013 s
    PSO 优化       : 10.623 s

  破坏算子统计:
  算子名称               调用次数     总耗时(s)      改进当前解      改进最优解
  -------------- -------- ---------- ---------- ----------
  random               57      0.002         15          2
  worst                80      0.004         36          6
  route                83      0.001         22          4
  bp_split             72      0.016         23          4

  修复算子统计:
  算子名称               调用次数     总耗时(s)      改进当前解      改进最优解
  -------------- -------- ---------- ---------- ----------
  greedy              134      4.506         45          7
  random               19      0.694          0          0
  bp_aware            139      5.189         51          9

── 进程 2 ──
  模块耗时汇总:
    破坏+修复 (DR) : 8.110 s
    局部搜索 (LS)  : 17.052 s
    PSO 优化       : 7.374 s

  破坏算子统计:
  算子名称               调用次数     总耗时(s)      改进当前解      改进最优解
  -------------- -------- ---------- ---------- ----------
  random               42      0.001          7          1
  worst                49      0.003         23          4
  route                36      0.001          7          0
  bp_split             37      0.001         10          1

  修复算子统计:
  算子名称               调用次数     总耗时(s)      改进当前解      改进最优解
  -------------- -------- ---------- ---------- ----------
  greedy               80      4.339         24          4
  random               20      0.811          0          0
  bp_aware             64      2.928         23          2

── 进程 3 ──
  模块耗时汇总:
    破坏+修复 (DR) : 6.048 s
    局部搜索 (LS)  : 13.425 s
    PSO 优化       : 6.016 s

  破坏算子统计:
  算子名称               调用次数     总耗时(s)      改进当前解      改进最优解
  -------------- -------- ---------- ---------- ----------
  random               36      0.016         10          1
  worst                37      0.017         10          2
  route                35      0.000         11          1
  bp_split             20      0.001          8          0

  修复算子统计:
  算子名称               调用次数     总耗时(s)      改进当前解      改进最优解
  -------------- -------- ---------- ---------- ----------
  greedy               50      2.153         17          1
  random               14      0.542          0          0
  bp_aware             64      3.317         22          3

================================================================================

--- 断点配置 ---
  边(1,2) 长度=375.00m: 无断点
  边(1,8) 长度=375.00m: 无断点
  边(1,14) 长度=375.00m: 无断点
  边(1,20) 长度=375.00m: 无断点
  边(1,26) 长度=375.00m: 无断点
  边(1,32) 长度=375.00m: 无断点
  边(1,38) 长度=375.00m: 无断点
  边(1,44) 长度=375.00m: 无断点
  边(1,34) 长度=1125.00m: 无断点
  边(2,3) 长度=375.00m: 无断点
  边(2,8) 长度=287.01m: 无断点
  边(2,9) 长度=552.61m: 无断点
  边(2,44) 长度=287.01m: 无断点
  边(2,45) 长度=552.61m: 无断点
  边(3,4) 长度=375.00m: 无断点
  边(3,43) 长度=2371.71m: 无断点
  边(3,42) 长度=2019.44m: 无断点
  边(4,5) 长度=375.00m: 无断点
  边(5,6) 长度=375.00m: 无断点
  边(6,7) 长度=375.00m: 无断点
  边(6,11) 长度=1337.22m: 无断点
  边(7,43) 长度=3181.98m: 无断点
  边(8,9) 长度=375.00m: 无断点
  边(8,14) 长度=287.01m: 无断点
  边(8,15) 长度=552.61m: 无断点
  边(8,17) 长度=1262.98m: 无断点
  边(9,10) 长度=375.00m: 无断点
  边(10,11) 长度=375.00m: 无断点
  边(10,17) 长度=1062.61m: 无断点
  边(11,12) 长度=375.00m: 无断点
  边(11,13) 长度=750.00m: 无断点
  边(12,13) 长度=375.00m: 无断点
  边(12,17) 长度=1337.22m: 无断点
  边(12,18) 长度=1435.06m: 无断点
  边(14,15) 长度=375.00m: 无断点
  边(14,20) 长度=287.01m: 无断点
  边(14,21) 长度=552.61m: 无断点
  边(15,16) 长度=375.00m: 无断点
  边(16,17) 长度=375.00m: 无断点
  边(16,21) 长度=796.80m: 无断点
  边(17,18) 长度=375.00m: 无断点
  边(18,19) 长度=375.00m: 无断点
  边(19,21) 长度=1799.59m: 无断点
  边(20,21) 长度=375.00m: 无断点
  边(20,26) 长度=287.01m: 无断点
  边(20,27) 长度=552.61m: 无断点
  边(20,30) 长度=1631.53m: 无断点
  边(21,22) 长度=375.00m: 无断点
  边(22,23) 长度=375.00m: 无断点
